day;date;time;Spolu_prejazdy;Smer_MostSNP;Smer_Stary_most
streda;1.1.2020;0:00;15;2;13
streda;1.1.2020;1:00;1;1;0
streda;1.1.2020;2:00;1;1;0
streda;1.1.2020;3:00;1;1;0
streda;1.1.2020;4:00;0;0;0
streda;1.1.2020;5:00;2;0;2
streda;1.1.2020;6:00;0;0;0
streda;1.1.2020;7:00;0;0;0
streda;1.1.2020;8:00;0;0;0
streda;1.1.2020;9:00;7;7;0
streda;1.1.2020;10:00;23;15;8
streda;1.1.2020;11:00;36;21;15
streda;1.1.2020;12:00;45;29;16
streda;1.1.2020;13:00;55;28;27
streda;1.1.2020;14:00;82;55;27
streda;1.1.2020;15:00;48;16;32
streda;1.1.2020;16:00;27;8;19
streda;1.1.2020;17:00;6;3;3
streda;1.1.2020;18:00;3;2;1
streda;1.1.2020;19:00;4;1;3
streda;1.1.2020;20:00;2;2;0
streda;1.1.2020;21:00;1;1;0
streda;1.1.2020;22:00;2;2;0
streda;1.1.2020;23:00;1;0;1
štvrtok;2.1.2020;0:00;0;0;0
štvrtok;2.1.2020;1:00;0;0;0
štvrtok;2.1.2020;2:00;0;0;0
štvrtok;2.1.2020;3:00;0;0;0
štvrtok;2.1.2020;4:00;0;0;0
štvrtok;2.1.2020;5:00;0;0;0
štvrtok;2.1.2020;6:00;2;2;0
štvrtok;2.1.2020;7:00;7;3;4
štvrtok;2.1.2020;8:00;14;3;11
štvrtok;2.1.2020;9:00;8;3;5
štvrtok;2.1.2020;10:00;11;9;2
štvrtok;2.1.2020;11:00;17;11;6
štvrtok;2.1.2020;12:00;22;13;9
štvrtok;2.1.2020;13:00;33;22;11
štvrtok;2.1.2020;14:00;28;18;10
štvrtok;2.1.2020;15:00;29;13;16
štvrtok;2.1.2020;16:00;22;7;15
štvrtok;2.1.2020;17:00;20;11;9
štvrtok;2.1.2020;18:00;7;4;3
štvrtok;2.1.2020;19:00;6;5;1
štvrtok;2.1.2020;20:00;5;3;2
štvrtok;2.1.2020;21:00;2;0;2
štvrtok;2.1.2020;22:00;0;0;0
štvrtok;2.1.2020;23:00;3;3;0
piatok;3.1.2020;0:00;1;0;1
piatok;3.1.2020;1:00;0;0;0
piatok;3.1.2020;2:00;0;0;0
piatok;3.1.2020;3:00;0;0;0
piatok;3.1.2020;4:00;0;0;0
piatok;3.1.2020;5:00;0;0;0
piatok;3.1.2020;6:00;2;2;0
piatok;3.1.2020;7:00;3;1;2
piatok;3.1.2020;8:00;7;2;5
piatok;3.1.2020;9:00;4;1;3
piatok;3.1.2020;10:00;2;1;1
piatok;3.1.2020;11:00;11;5;6
piatok;3.1.2020;12:00;8;6;2
piatok;3.1.2020;13:00;5;3;2
piatok;3.1.2020;14:00;6;4;2
piatok;3.1.2020;15:00;15;7;8
piatok;3.1.2020;16:00;13;6;7
piatok;3.1.2020;17:00;10;6;4
piatok;3.1.2020;18:00;7;7;0
piatok;3.1.2020;19:00;5;2;3
piatok;3.1.2020;20:00;6;4;2
piatok;3.1.2020;21:00;2;0;2
piatok;3.1.2020;22:00;1;0;1
piatok;3.1.2020;23:00;1;0;1
sobota;4.1.2020;0:00;2;0;2
sobota;4.1.2020;1:00;0;0;0
sobota;4.1.2020;2:00;0;0;0
sobota;4.1.2020;3:00;0;0;0
sobota;4.1.2020;4:00;0;0;0
sobota;4.1.2020;5:00;1;1;0
sobota;4.1.2020;6:00;0;0;0
sobota;4.1.2020;7:00;1;1;0
sobota;4.1.2020;8:00;3;0;3
sobota;4.1.2020;9:00;6;3;3
sobota;4.1.2020;10:00;7;6;1
sobota;4.1.2020;11:00;22;14;8
sobota;4.1.2020;12:00;20;11;9
sobota;4.1.2020;13:00;31;19;12
sobota;4.1.2020;14:00;24;13;11
sobota;4.1.2020;15:00;26;16;10
sobota;4.1.2020;16:00;12;4;8
sobota;4.1.2020;17:00;3;2;1
sobota;4.1.2020;18:00;7;4;3
sobota;4.1.2020;19:00;4;2;2
sobota;4.1.2020;20:00;1;0;1
sobota;4.1.2020;21:00;0;0;0
sobota;4.1.2020;22:00;3;3;0
sobota;4.1.2020;23:00;1;1;0
nede?a;5.1.2020;0:00;1;0;1
nede?a;5.1.2020;1:00;0;0;0
nede?a;5.1.2020;2:00;0;0;0
nede?a;5.1.2020;3:00;0;0;0
nede?a;5.1.2020;4:00;0;0;0
nede?a;5.1.2020;5:00;0;0;0
nede?a;5.1.2020;6:00;3;3;0
nede?a;5.1.2020;7:00;1;1;0
nede?a;5.1.2020;8:00;1;1;0
nede?a;5.1.2020;9:00;6;2;4
nede?a;5.1.2020;10:00;19;13;6
nede?a;5.1.2020;11:00;23;14;9
nede?a;5.1.2020;12:00;24;12;12
nede?a;5.1.2020;13:00;26;11;15
nede?a;5.1.2020;14:00;21;16;5
nede?a;5.1.2020;15:00;22;9;13
nede?a;5.1.2020;16:00;20;6;14
nede?a;5.1.2020;17:00;11;3;8
nede?a;5.1.2020;18:00;3;2;1
nede?a;5.1.2020;19:00;6;1;5
nede?a;5.1.2020;20:00;1;0;1
nede?a;5.1.2020;21:00;0;0;0
nede?a;5.1.2020;22:00;0;0;0
nede?a;5.1.2020;23:00;1;1;0
pondelok;6.1.2020;0:00;1;0;1
pondelok;6.1.2020;1:00;0;0;0
pondelok;6.1.2020;2:00;0;0;0
pondelok;6.1.2020;3:00;0;0;0
pondelok;6.1.2020;4:00;0;0;0
pondelok;6.1.2020;5:00;1;1;0
pondelok;6.1.2020;6:00;1;1;0
pondelok;6.1.2020;7:00;1;0;1
pondelok;6.1.2020;8:00;3;3;0
pondelok;6.1.2020;9:00;7;3;4
pondelok;6.1.2020;10:00;27;22;5
pondelok;6.1.2020;11:00;42;31;11
pondelok;6.1.2020;12:00;49;26;23
pondelok;6.1.2020;13:00;60;31;29
pondelok;6.1.2020;14:00;69;32;37
pondelok;6.1.2020;15:00;48;26;22
pondelok;6.1.2020;16:00;15;4;11
pondelok;6.1.2020;17:00;7;3;4
pondelok;6.1.2020;18:00;4;3;1
pondelok;6.1.2020;19:00;6;4;2
pondelok;6.1.2020;20:00;1;1;0
pondelok;6.1.2020;21:00;4;2;2
pondelok;6.1.2020;22:00;0;0;0
pondelok;6.1.2020;23:00;1;1;0
utorok;7.1.2020;0:00;1;0;1
utorok;7.1.2020;1:00;0;0;0
utorok;7.1.2020;2:00;0;0;0
utorok;7.1.2020;3:00;0;0;0
utorok;7.1.2020;4:00;0;0;0
utorok;7.1.2020;5:00;4;2;2
utorok;7.1.2020;6:00;3;1;2
utorok;7.1.2020;7:00;14;8;6
utorok;7.1.2020;8:00;20;7;13
utorok;7.1.2020;9:00;11;3;8
utorok;7.1.2020;10:00;3;3;0
utorok;7.1.2020;11:00;6;4;2
utorok;7.1.2020;12:00;7;6;1
utorok;7.1.2020;13:00;6;3;3
utorok;7.1.2020;14:00;19;12;7
utorok;7.1.2020;15:00;22;8;14
utorok;7.1.2020;16:00;26;11;15
utorok;7.1.2020;17:00;25;15;10
utorok;7.1.2020;18:00;17;9;8
utorok;7.1.2020;19:00;7;4;3
utorok;7.1.2020;20:00;1;1;0
utorok;7.1.2020;21:00;1;1;0
utorok;7.1.2020;22:00;0;0;0
utorok;7.1.2020;23:00;0;0;0
streda;8.1.2020;0:00;0;0;0
streda;8.1.2020;1:00;0;0;0
streda;8.1.2020;2:00;0;0;0
streda;8.1.2020;3:00;0;0;0
streda;8.1.2020;4:00;1;0;1
streda;8.1.2020;5:00;2;1;1
streda;8.1.2020;6:00;1;0;1
streda;8.1.2020;7:00;18;7;11
streda;8.1.2020;8:00;29;14;15
streda;8.1.2020;9:00;10;3;7
streda;8.1.2020;10:00;8;4;4
streda;8.1.2020;11:00;12;6;6
streda;8.1.2020;12:00;7;6;1
streda;8.1.2020;13:00;11;7;4
streda;8.1.2020;14:00;17;10;7
streda;8.1.2020;15:00;18;9;9
streda;8.1.2020;16:00;37;18;19
streda;8.1.2020;17:00;27;17;10
streda;8.1.2020;18:00;15;9;6
streda;8.1.2020;19:00;14;6;8
streda;8.1.2020;20:00;3;1;2
streda;8.1.2020;21:00;1;0;1
streda;8.1.2020;22:00;1;1;0
streda;8.1.2020;23:00;2;1;1
štvrtok;9.1.2020;0:00;0;0;0
štvrtok;9.1.2020;1:00;0;0;0
štvrtok;9.1.2020;2:00;0;0;0
štvrtok;9.1.2020;3:00;0;0;0
štvrtok;9.1.2020;4:00;0;0;0
štvrtok;9.1.2020;5:00;2;0;2
štvrtok;9.1.2020;6:00;2;1;1
štvrtok;9.1.2020;7:00;11;4;7
štvrtok;9.1.2020;8:00;26;8;18
štvrtok;9.1.2020;9:00;11;2;9
štvrtok;9.1.2020;10:00;8;6;2
štvrtok;9.1.2020;11:00;8;4;4
štvrtok;9.1.2020;12:00;5;3;2
štvrtok;9.1.2020;13:00;6;5;1
štvrtok;9.1.2020;14:00;6;5;1
štvrtok;9.1.2020;15:00;27;15;12
štvrtok;9.1.2020;16:00;25;12;13
štvrtok;9.1.2020;17:00;31;16;15
štvrtok;9.1.2020;18:00;13;13;0
štvrtok;9.1.2020;19:00;17;6;11
štvrtok;9.1.2020;20:00;11;6;5
štvrtok;9.1.2020;21:00;5;2;3
štvrtok;9.1.2020;22:00;1;1;0
štvrtok;9.1.2020;23:00;0;0;0
piatok;10.1.2020;0:00;0;0;0
piatok;10.1.2020;1:00;0;0;0
piatok;10.1.2020;2:00;0;0;0
piatok;10.1.2020;3:00;0;0;0
piatok;10.1.2020;4:00;0;0;0
piatok;10.1.2020;5:00;1;0;1
piatok;10.1.2020;6:00;5;3;2
piatok;10.1.2020;7:00;11;4;7
piatok;10.1.2020;8:00;16;4;12
piatok;10.1.2020;9:00;12;5;7
piatok;10.1.2020;10:00;7;4;3
piatok;10.1.2020;11:00;11;7;4
piatok;10.1.2020;12:00;5;2;3
piatok;10.1.2020;13:00;9;3;6
piatok;10.1.2020;14:00;14;10;4
piatok;10.1.2020;15:00;18;8;10
piatok;10.1.2020;16:00;25;13;12
piatok;10.1.2020;17:00;18;15;3
piatok;10.1.2020;18:00;13;6;7
piatok;10.1.2020;19:00;6;3;3
piatok;10.1.2020;20:00;3;2;1
piatok;10.1.2020;21:00;3;2;1
piatok;10.1.2020;22:00;2;1;1
piatok;10.1.2020;23:00;1;0;1
sobota;11.1.2020;0:00;1;1;0
sobota;11.1.2020;1:00;1;0;1
sobota;11.1.2020;2:00;0;0;0
sobota;11.1.2020;3:00;0;0;0
sobota;11.1.2020;4:00;0;0;0
sobota;11.1.2020;5:00;1;1;0
sobota;11.1.2020;6:00;2;1;1
sobota;11.1.2020;7:00;0;0;0
sobota;11.1.2020;8:00;4;2;2
sobota;11.1.2020;9:00;6;4;2
sobota;11.1.2020;10:00;30;24;6
sobota;11.1.2020;11:00;34;22;12
sobota;11.1.2020;12:00;63;42;21
sobota;11.1.2020;13:00;53;25;28
sobota;11.1.2020;14:00;70;36;34
sobota;11.1.2020;15:00;46;27;19
sobota;11.1.2020;16:00;27;9;18
sobota;11.1.2020;17:00;12;5;7
sobota;11.1.2020;18:00;13;9;4
sobota;11.1.2020;19:00;4;0;4
sobota;11.1.2020;20:00;4;0;4
sobota;11.1.2020;21:00;3;2;1
sobota;11.1.2020;22:00;1;1;0
sobota;11.1.2020;23:00;0;0;0
nede?a;12.1.2020;0:00;0;0;0
nede?a;12.1.2020;1:00;2;0;2
nede?a;12.1.2020;2:00;0;0;0
nede?a;12.1.2020;3:00;0;0;0
nede?a;12.1.2020;4:00;1;0;1
nede?a;12.1.2020;5:00;0;0;0
nede?a;12.1.2020;6:00;2;0;2
nede?a;12.1.2020;7:00;0;0;0
nede?a;12.1.2020;8:00;5;3;2
nede?a;12.1.2020;9:00;13;6;7
nede?a;12.1.2020;10:00;53;34;19
nede?a;12.1.2020;11:00;41;22;19
nede?a;12.1.2020;12:00;60;38;22
nede?a;12.1.2020;13:00;54;35;19
nede?a;12.1.2020;14:00;55;27;28
nede?a;12.1.2020;15:00;49;17;32
nede?a;12.1.2020;16:00;19;11;8
nede?a;12.1.2020;17:00;10;7;3
nede?a;12.1.2020;18:00;6;3;3
nede?a;12.1.2020;19:00;4;1;3
nede?a;12.1.2020;20:00;0;0;0
nede?a;12.1.2020;21:00;1;1;0
nede?a;12.1.2020;22:00;1;1;0
nede?a;12.1.2020;23:00;3;0;3
pondelok;13.1.2020;0:00;0;0;0
pondelok;13.1.2020;1:00;0;0;0
pondelok;13.1.2020;2:00;0;0;0
pondelok;13.1.2020;3:00;0;0;0
pondelok;13.1.2020;4:00;1;0;1
pondelok;13.1.2020;5:00;2;1;1
pondelok;13.1.2020;6:00;1;0;1
pondelok;13.1.2020;7:00;11;7;4
pondelok;13.1.2020;8:00;35;14;21
pondelok;13.1.2020;9:00;9;3;6
pondelok;13.1.2020;10:00;8;5;3
pondelok;13.1.2020;11:00;8;5;3
pondelok;13.1.2020;12:00;9;6;3
pondelok;13.1.2020;13:00;9;3;6
pondelok;13.1.2020;14:00;11;5;6
pondelok;13.1.2020;15:00;14;7;7
pondelok;13.1.2020;16:00;24;11;13
pondelok;13.1.2020;17:00;29;13;16
pondelok;13.1.2020;18:00;16;10;6
pondelok;13.1.2020;19:00;15;10;5
pondelok;13.1.2020;20:00;5;2;3
pondelok;13.1.2020;21:00;3;3;0
pondelok;13.1.2020;22:00;2;2;0
pondelok;13.1.2020;23:00;0;0;0
utorok;14.1.2020;0:00;0;0;0
utorok;14.1.2020;1:00;0;0;0
utorok;14.1.2020;2:00;0;0;0
utorok;14.1.2020;3:00;0;0;0
utorok;14.1.2020;4:00;0;0;0
utorok;14.1.2020;5:00;1;0;1
utorok;14.1.2020;6:00;4;3;1
utorok;14.1.2020;7:00;6;2;4
utorok;14.1.2020;8:00;17;8;9
utorok;14.1.2020;9:00;4;1;3
utorok;14.1.2020;10:00;2;1;1
utorok;14.1.2020;11:00;1;1;0
utorok;14.1.2020;12:00;5;1;4
utorok;14.1.2020;13:00;3;1;2
utorok;14.1.2020;14:00;2;1;1
utorok;14.1.2020;15:00;5;1;4
utorok;14.1.2020;16:00;13;4;9
utorok;14.1.2020;17:00;10;5;5
utorok;14.1.2020;18:00;3;1;2
utorok;14.1.2020;19:00;3;1;2
utorok;14.1.2020;20:00;3;2;1
utorok;14.1.2020;21:00;1;0;1
utorok;14.1.2020;22:00;2;1;1
utorok;14.1.2020;23:00;0;0;0
streda;15.1.2020;0:00;0;0;0
streda;15.1.2020;1:00;0;0;0
streda;15.1.2020;2:00;0;0;0
streda;15.1.2020;3:00;0;0;0
streda;15.1.2020;4:00;0;0;0
streda;15.1.2020;5:00;1;0;1
streda;15.1.2020;6:00;2;2;0
streda;15.1.2020;7:00;8;3;5
streda;15.1.2020;8:00;8;3;5
streda;15.1.2020;9:00;5;1;4
streda;15.1.2020;10:00;6;4;2
streda;15.1.2020;11:00;1;0;1
streda;15.1.2020;12:00;5;2;3
streda;15.1.2020;13:00;3;2;1
streda;15.1.2020;14:00;6;4;2
streda;15.1.2020;15:00;9;4;5
streda;15.1.2020;16:00;17;7;10
streda;15.1.2020;17:00;14;6;8
streda;15.1.2020;18:00;9;5;4
streda;15.1.2020;19:00;7;2;5
streda;15.1.2020;20:00;3;1;2
streda;15.1.2020;21:00;1;1;0
streda;15.1.2020;22:00;0;0;0
streda;15.1.2020;23:00;3;2;1
štvrtok;16.1.2020;0:00;1;0;1
štvrtok;16.1.2020;1:00;0;0;0
štvrtok;16.1.2020;2:00;1;1;0
štvrtok;16.1.2020;3:00;0;0;0
štvrtok;16.1.2020;4:00;0;0;0
štvrtok;16.1.2020;5:00;1;1;0
štvrtok;16.1.2020;6:00;4;2;2
štvrtok;16.1.2020;7:00;11;3;8
štvrtok;16.1.2020;8:00;18;7;11
štvrtok;16.1.2020;9:00;5;2;3
štvrtok;16.1.2020;10:00;10;5;5
štvrtok;16.1.2020;11:00;14;6;8
štvrtok;16.1.2020;12:00;5;3;2
štvrtok;16.1.2020;13:00;6;3;3
štvrtok;16.1.2020;14:00;13;7;6
štvrtok;16.1.2020;15:00;12;5;7
štvrtok;16.1.2020;16:00;29;10;19
štvrtok;16.1.2020;17:00;29;20;9
štvrtok;16.1.2020;18:00;13;8;5
štvrtok;16.1.2020;19:00;8;6;2
štvrtok;16.1.2020;20:00;5;1;4
štvrtok;16.1.2020;21:00;1;1;0
štvrtok;16.1.2020;22:00;4;1;3
štvrtok;16.1.2020;23:00;0;0;0
piatok;17.1.2020;0:00;0;0;0
piatok;17.1.2020;1:00;0;0;0
piatok;17.1.2020;2:00;0;0;0
piatok;17.1.2020;3:00;0;0;0
piatok;17.1.2020;4:00;0;0;0
piatok;17.1.2020;5:00;1;0;1
piatok;17.1.2020;6:00;1;1;0
piatok;17.1.2020;7:00;9;4;5
piatok;17.1.2020;8:00;15;5;10
piatok;17.1.2020;9:00;9;3;6
piatok;17.1.2020;10:00;9;4;5
piatok;17.1.2020;11:00;6;1;5
piatok;17.1.2020;12:00;7;4;3
piatok;17.1.2020;13:00;9;0;9
piatok;17.1.2020;14:00;5;4;1
piatok;17.1.2020;15:00;12;6;6
piatok;17.1.2020;16:00;21;7;14
piatok;17.1.2020;17:00;12;9;3
piatok;17.1.2020;18:00;7;5;2
piatok;17.1.2020;19:00;3;1;2
piatok;17.1.2020;20:00;4;2;2
piatok;17.1.2020;21:00;19;0;19
piatok;17.1.2020;22:00;2;0;2
piatok;17.1.2020;23:00;1;1;0
sobota;18.1.2020;0:00;0;0;0
sobota;18.1.2020;1:00;0;0;0
sobota;18.1.2020;2:00;0;0;0
sobota;18.1.2020;3:00;0;0;0
sobota;18.1.2020;4:00;0;0;0
sobota;18.1.2020;5:00;0;0;0
sobota;18.1.2020;6:00;0;0;0
sobota;18.1.2020;7:00;2;1;1
sobota;18.1.2020;8:00;0;0;0
sobota;18.1.2020;9:00;3;2;1
sobota;18.1.2020;10:00;6;4;2
sobota;18.1.2020;11:00;15;11;4
sobota;18.1.2020;12:00;8;5;3
sobota;18.1.2020;13:00;7;3;4
sobota;18.1.2020;14:00;9;2;7
sobota;18.1.2020;15:00;5;3;2
sobota;18.1.2020;16:00;6;3;3
sobota;18.1.2020;17:00;5;1;4
sobota;18.1.2020;18:00;4;0;4
sobota;18.1.2020;19:00;3;0;3
sobota;18.1.2020;20:00;0;0;0
sobota;18.1.2020;21:00;5;1;4
sobota;18.1.2020;22:00;0;0;0
sobota;18.1.2020;23:00;1;1;0
nede?a;19.1.2020;0:00;1;0;1
nede?a;19.1.2020;1:00;1;0;1
nede?a;19.1.2020;2:00;0;0;0
nede?a;19.1.2020;3:00;0;0;0
nede?a;19.1.2020;4:00;0;0;0
nede?a;19.1.2020;5:00;0;0;0
nede?a;19.1.2020;6:00;0;0;0
nede?a;19.1.2020;7:00;3;1;2
nede?a;19.1.2020;8:00;4;2;2
nede?a;19.1.2020;9:00;3;2;1
nede?a;19.1.2020;10:00;3;2;1
nede?a;19.1.2020;11:00;4;3;1
nede?a;19.1.2020;12:00;3;1;2
nede?a;19.1.2020;13:00;12;6;6
nede?a;19.1.2020;14:00;3;2;1
nede?a;19.1.2020;15:00;5;2;3
nede?a;19.1.2020;16:00;5;1;4
nede?a;19.1.2020;17:00;2;0;2
nede?a;19.1.2020;18:00;0;0;0
nede?a;19.1.2020;19:00;2;0;2
nede?a;19.1.2020;20:00;2;2;0
nede?a;19.1.2020;21:00;0;0;0
nede?a;19.1.2020;22:00;1;1;0
nede?a;19.1.2020;23:00;0;0;0
pondelok;20.1.2020;0:00;1;0;1
pondelok;20.1.2020;1:00;0;0;0
pondelok;20.1.2020;2:00;0;0;0
pondelok;20.1.2020;3:00;0;0;0
pondelok;20.1.2020;4:00;1;1;0
pondelok;20.1.2020;5:00;1;0;1
pondelok;20.1.2020;6:00;5;1;4
pondelok;20.1.2020;7:00;15;7;8
pondelok;20.1.2020;8:00;13;7;6
pondelok;20.1.2020;9:00;6;4;2
pondelok;20.1.2020;10:00;9;7;2
pondelok;20.1.2020;11:00;9;5;4
pondelok;20.1.2020;12:00;6;3;3
pondelok;20.1.2020;13:00;17;7;10
pondelok;20.1.2020;14:00;14;7;7
pondelok;20.1.2020;15:00;25;13;12
pondelok;20.1.2020;16:00;35;15;20
pondelok;20.1.2020;17:00;21;10;11
pondelok;20.1.2020;18:00;14;8;6
pondelok;20.1.2020;19:00;12;5;7
pondelok;20.1.2020;20:00;6;4;2
pondelok;20.1.2020;21:00;3;1;2
pondelok;20.1.2020;22:00;0;0;0
pondelok;20.1.2020;23:00;0;0;0
utorok;21.1.2020;0:00;0;0;0
utorok;21.1.2020;1:00;1;0;1
utorok;21.1.2020;2:00;0;0;0
utorok;21.1.2020;3:00;0;0;0
utorok;21.1.2020;4:00;0;0;0
utorok;21.1.2020;5:00;2;1;1
utorok;21.1.2020;6:00;4;1;3
utorok;21.1.2020;7:00;12;5;7
utorok;21.1.2020;8:00;16;8;8
utorok;21.1.2020;9:00;14;5;9
utorok;21.1.2020;10:00;4;2;2
utorok;21.1.2020;11:00;6;3;3
utorok;21.1.2020;12:00;7;6;1
utorok;21.1.2020;13:00;7;2;5
utorok;21.1.2020;14:00;6;2;4
utorok;21.1.2020;15:00;11;4;7
utorok;21.1.2020;16:00;23;8;15
utorok;21.1.2020;17:00;26;17;9
utorok;21.1.2020;18:00;9;7;2
utorok;21.1.2020;19:00;7;4;3
utorok;21.1.2020;20:00;3;2;1
utorok;21.1.2020;21:00;3;2;1
utorok;21.1.2020;22:00;2;2;0
utorok;21.1.2020;23:00;0;0;0
streda;22.1.2020;0:00;1;1;0
streda;22.1.2020;1:00;0;0;0
streda;22.1.2020;2:00;0;0;0
streda;22.1.2020;3:00;0;0;0
streda;22.1.2020;4:00;0;0;0
streda;22.1.2020;5:00;1;0;1
streda;22.1.2020;6:00;1;0;1
streda;22.1.2020;7:00;12;8;4
streda;22.1.2020;8:00;13;5;8
streda;22.1.2020;9:00;11;4;7
streda;22.1.2020;10:00;4;2;2
streda;22.1.2020;11:00;9;3;6
streda;22.1.2020;12:00;5;3;2
streda;22.1.2020;13:00;4;2;2
streda;22.1.2020;14:00;12;6;6
streda;22.1.2020;15:00;18;12;6
streda;22.1.2020;16:00;23;11;12
streda;22.1.2020;17:00;15;6;9
streda;22.1.2020;18:00;10;7;3
streda;22.1.2020;19:00;13;5;8
streda;22.1.2020;20:00;5;2;3
streda;22.1.2020;21:00;2;0;2
streda;22.1.2020;22:00;3;2;1
streda;22.1.2020;23:00;2;2;0
štvrtok;23.1.2020;0:00;1;0;1
štvrtok;23.1.2020;1:00;0;0;0
štvrtok;23.1.2020;2:00;0;0;0
štvrtok;23.1.2020;3:00;0;0;0
štvrtok;23.1.2020;4:00;2;1;1
štvrtok;23.1.2020;5:00;0;0;0
štvrtok;23.1.2020;6:00;2;1;1
štvrtok;23.1.2020;7:00;9;7;2
štvrtok;23.1.2020;8:00;30;9;21
štvrtok;23.1.2020;9:00;10;2;8
štvrtok;23.1.2020;10:00;8;4;4
štvrtok;23.1.2020;11:00;17;8;9
štvrtok;23.1.2020;12:00;17;8;9
štvrtok;23.1.2020;13:00;20;8;12
štvrtok;23.1.2020;14:00;31;17;14
štvrtok;23.1.2020;15:00;45;20;25
štvrtok;23.1.2020;16:00;26;10;16
štvrtok;23.1.2020;17:00;35;15;20
štvrtok;23.1.2020;18:00;29;14;15
štvrtok;23.1.2020;19:00;14;6;8
štvrtok;23.1.2020;20:00;5;3;2
štvrtok;23.1.2020;21:00;7;1;6
štvrtok;23.1.2020;22:00;4;4;0
štvrtok;23.1.2020;23:00;1;0;1
piatok;24.1.2020;0:00;2;0;2
piatok;24.1.2020;1:00;0;0;0
piatok;24.1.2020;2:00;0;0;0
piatok;24.1.2020;3:00;0;0;0
piatok;24.1.2020;4:00;0;0;0
piatok;24.1.2020;5:00;4;1;3
piatok;24.1.2020;6:00;4;2;2
piatok;24.1.2020;7:00;13;4;9
piatok;24.1.2020;8:00;8;1;7
piatok;24.1.2020;9:00;6;2;4
piatok;24.1.2020;10:00;9;3;6
piatok;24.1.2020;11:00;7;2;5
piatok;24.1.2020;12:00;14;5;9
piatok;24.1.2020;13:00;14;5;9
piatok;24.1.2020;14:00;10;4;6
piatok;24.1.2020;15:00;15;7;8
piatok;24.1.2020;16:00;18;10;8
piatok;24.1.2020;17:00;16;7;9
piatok;24.1.2020;18:00;18;9;9
piatok;24.1.2020;19:00;8;2;6
piatok;24.1.2020;20:00;3;1;2
piatok;24.1.2020;21:00;0;0;0
piatok;24.1.2020;22:00;1;1;0
piatok;24.1.2020;23:00;2;0;2
sobota;25.1.2020;0:00;0;0;0
sobota;25.1.2020;1:00;2;1;1
sobota;25.1.2020;2:00;0;0;0
sobota;25.1.2020;3:00;0;0;0
sobota;25.1.2020;4:00;0;0;0
sobota;25.1.2020;5:00;0;0;0
sobota;25.1.2020;6:00;2;2;0
sobota;25.1.2020;7:00;1;1;0
